69	69
73	KING1
84	84
90	90
96	96
97	97
98	98
100	100
101	101
102	KING967
103	103
105	105
106	106
108	KING2
113	113
114	114
115	115
120	120
122	122
125	125
128	128
130	KING3
131	KING4
133	133
134	134
135	KING5
136	KING5
140	140
141	141
144	144
147	147
148	148
149	KING6
150	150
151	151
155	155
156	156
157	157
158	158
159	159
160	KING7
161	KING8
162	162
164	164
165	165
167	KING9
169	169
170	170
171	KING10
173	173
174	KING11
175	KING6
177	177
180	180
182	KING12
186	186
191	191
192	192
193	193
195	195
196	196
198	198
201	201
204	KING1
205	KING13
207	KING14
208	KING15
209	KING16
211	KING17
214	214
215	KING18
216	KING19
218	218
220	KING20
223	KING21
227	227
228	228
229	229
230	230
231	231
233	KING7
235	KING22
239	239
240	240
241	241
243	243
247	KING23
249	249
250	250
251	251
255	255
256	KING10
268	268
269	KING24
270	270
272	272
273	KING25
276	KING26
277	277
278	KING8
279	KING16
285	285
288	KING27
289	289
290	290
291	KING13
292	292
293	KING28
295	295
296	KING29
300	300
301	KING30
302	KING31
304	KING32
305	305
307	307
308	KING33
309	309
316	316
317	KING15
318	318
319	319
321	KING34
322	322
323	KING35
325	325
326	326
327	327
328	KING36
331	KING37
333	333
334	KING38
336	KING39
337	KING39
338	338
339	339
340	340
342	KING40
343	343
344	344
347	347
348	348
351	KING41
352	352
355	355
357	357
358	KING42
360	360
362	362
365	KING43
366	366
368	KING44
372	372
376	376
379	379
380	380
384	384
386	386
387	387
388	388
389	389
390	390
391	KING45
393	393
395	KING10
396	KING10
397	KING10
404	404
406	KING22
407	KING4
409	409
410	410
412	412
415	KING7
417	KING3
418	418
419	KING14
423	423
425	425
426	426
429	429
431	431
432	KING46
433	433
434	434
435	435
436	436
440	440
444	444
445	445
446	KING47
447	447
453	KING36
459	KING48
463	463
464	KING49
465	465
472	KING33
473	KING17
475	475
476	476
478	478
480	KING32
481	KING9
482	482
483	483
484	484
486	KING21
487	487
488	488
489	489
492	492
497	497
508	508
509	509
511	511
519	KING50
521	521
522	522
523	523
524	524
525	KING51
526	526
528	528
530	530
532	532
534	KING27
536	536
539	KING52
542	KING53
543	543
544	KING37
546	546
547	547
548	KING54
550	KING46
551	551
561	KING29
562	KING55
583	583
584	584
588	588
592	KING56
596	596
597	597
600	KING19
602	KING57
603	KING58
605	605
608	608
614	614
616	616
617	KING59
618	KING60
619	KING61
620	KING62
621	KING38
623	623
627	KING52
628	628
631	631
632	KING63
638	638
639	KING64
640	640
644	KING26
647	KING42
650	650
652	KING65
654	654
656	656
658	KING66
667	KING67
668	KING68
669	669
670	670
671	671
672	672
676	676
677	KING69
678	KING17
679	KING70
683	683
685	685
689	KING34
695	695
696	KING71
698	698
700	700
702	702
703	703
704	KING72
708	708
709	709
713	713
716	KING73
720	720
721	KING31
724	724
727	727
729	729
731	731
732	732
734	KING74
740	740
741	KING48
743	743
745	KING75
747	747
748	KING76
749	KING77
751	751
754	754
756	KING47
757	757
758	758
759	759
761	761
763	763
764	764
767	767
773	773
774	774
782	782
783	783
786	786
787	787
788	KING78
789	789
790	790
791	791
792	792
794	794
795	KING79
796	796
797	KING80
800	KING53
805	KING56
814	KING81
818	818
819	819
820	KING82
822	822
823	823
825	KING83
826	KING84
832	832
834	KING17
835	835
836	836
838	838
839	KING85
842	842
846	KING86
849	849
853	KING55
854	KING87
855	855
857	KING88
858	858
859	859
860	860
862	862
863	863
866	866
867	867
869	869
870	KING20
871	871
873	KING11
874	874
875	875
876	876
877	877
878	878
879	879
880	880
884	KING89
885	KING90
886	KING91
887	887
891	891
893	893
897	897
898	898
899	KING92
901	KING50
904	904
908	908
911	KING70
913	KING72
914	914
915	KING93
916	916
920	KING94
921	921
922	922
925	925
927	927
930	930
932	KING95
933	KING96
935	935
937	937
940	940
941	KING97
946	KING98
947	KING99
949	949
953	KING100
956	KING68
957	KING68
962	KING40
963	963
964	KING38
966	966
967	967
968	968
969	KING101
971	971
974	KING102
975	KING103
976	976
978	978
983	KING57
984	984
986	986
987	987
988	988
989	KING79
990	990
991	991
995	KING30
999	999
1000	KING73
1001	1001
1003	1003
1011	1011
1012	1012
1013	1013
1014	1014
1015	KING104
1017	KING105
1018	1018
1019	1019
1022	1022
1024	KING44
1025	KING85
1028	1028
1031	1031
1033	1033
1036	1036
1037	KING106
1039	1039
1041	1041
1042	1042
1043	KING107
1051	1051
1052	KING108
1053	KING109
1055	KING110
1056	1056
1059	1059
1061	1061
1063	1063
1064	1064
1065	1065
1066	KING111
1067	1067
1068	1068
1069	1069
1072	1072
1073	1073
1075	1075
1079	KING112
1081	KING10
1082	KING10
1084	1084
1090	KING113
1093	KING114
1097	KING115
1099	KING116
1100	KING117
1103	1103
1104	1104
1107	1107
1109	KING117
1112	1112
1113	KING19
1114	1114
1116	1116
1117	1117
1120	KING118
1122	KING119
1123	1123
1124	KING120
1125	1125
1129	KING121
1134	1134
1136	1136
1139	1139
1144	1144
1145	KING122
1150	1150
1153	KING123
1154	KING123
1155	1155
1157	1157
1159	KING124
1160	KING124
1161	KING125
1162	1162
1163	1163
1164	KING126
1165	1165
1166	1166
1169	KING87
1170	1170
1171	1171
1172	1172
1178	KING127
1179	1179
1180	KING10
1186	KING128
1187	1187
1189	KING129
1190	1190
1192	1192
1194	1194
1195	1195
1198	1198
1202	1202
1203	KING130
1205	1205
1208	KING131
1211	1211
1214	1214
1218	KING132
1219	KING133
1223	1223
1224	1224
1226	KING103
1229	1229
1230	KING41
1231	1231
1232	1232
1234	1234
1235	1235
1236	1236
1237	1237
1238	1238
1241	1241
1242	KING134
1244	1244
1245	1245
1247	1247
1248	1248
1250	1250
1253	1253
1254	1254
1255	KING135
1256	KING136
1257	1257
1258	KING137
1259	1259
1267	1267
1269	KING15
1270	1270
1271	1271
1272	1272
1273	1273
1274	KING49
1277	1277
1278	1278
1280	1280
1281	KING138
1282	1282
1284	KING139
1285	KING67
1287	1287
1289	1289
1290	KING140
1297	KING44
1299	KING141
1300	KING142
1301	KING63
1304	KING143
1305	KING51
1306	KING144
1308	KING145
1309	1309
1310	KING146
1311	KING65
1312	KING62
1313	KING147
1317	1317
1319	1319
1320	1320
1323	1323
1330	1330
1331	KING99
1332	KING148
1333	1333
1334	1334
1335	1335
1336	1336
1337	1337
1339	1339
1340	KING149
1343	1343
1348	1348
1350	1350
1352	KING150
1354	KING73
1355	1355
1356	KING78
1357	1357
1363	1363
1364	1364
1366	KING136
1367	1367
1368	1368
1369	1369
1370	1370
1371	KING151
1372	1372
1373	1373
1374	KING83
1375	1375
1376	KING152
1377	1377
1379	1379
1380	1380
1382	1382
1383	KING147
1385	KING54
1386	1386
1389	KING153
1390	KING154
1391	1391
