69	4
69	6
69	7
69	9
69	12
100	16
100	17
100	18
100	24
100	25
100	26
100	27
100	28
100	29
100	32
100	33
100	34
100	35
100	44
100	45
100	59
100	60
215	2
215	3
879	12
879	13
986	2
986	3
986	4
986	13
986	14
1157	2
1192	7
1192	9
1371	3
1371	8
1450	3
1450	4
1637	10
1637	13
1805	16
1805	17
1903	8
1903	9
2345	11
2345	12
2351	14
2351	15
2432	2
2432	7
2432	9
2465	21
2465	22
2472	2
2472	3
2620	11
2620	12
2764	9
2907	14
2907	15
3156	8
3156	9
3156	20
3156	21
3156	23
3188	22
3188	23
4004	8
4004	9
4004	17
4004	18
4077	10
4077	11
4077	16
4077	19
4077	20
4089	5
4089	6
4145	19
4145	21
4145	22
4842	3
4842	5
4996	8
4996	9
5231	3
5231	3
10268	1
12408	9
12408	11
12408	12
14297	1
14297	3
27234	8
27234	9
27485	2
27485	3
27782	30
27782	31
28050	2
28050	3
28502	6
28502	7
30796	8
30796	9
1618	2
1618	9
1618	13
15638	2
15638	4
20289	14
20289	16
20841	2
20841	3
20841	4
20841	5
20841	7
21541	5
21541	6
29485	13
29485	14
45402	3
45402	5
76491	4
76491	6
91580	4
91580	5
124914	3
124914	4
69	10
69	11
1371	5
1371	7
4977	3
4977	6
28502	14
28502	15
22664	20
22664	21
22664	18
22664	19
100	48
100	49
177	12
177	14
357	5
357	6
365	28
365	30
638	9
638	12
658	8
658	9
1157	3
1157	9
1401	13
1401	14
1958	8
1958	9
2345	13
2345	14
2764	10
2764	11
3580	1
3580	2
10268	2
10268	3
12717	4
12717	6
21538	13
21538	14
25246	22
25246	23
6516	4
6516	5
14969	16
14969	17
29584	10
29584	11
100	15
100	19
1192	5
1192	8
2764	5
2764	15
3678	4
3678	5
4101	4
4101	6
986	17
986	18
1192	4
15156	9
15156	10
27784	4
27784	5
22976	4
22976	5
619	5
619	6
12650	3
12650	7
26653	2
26653	3
27126	8
27126	9
27784	18
27784	19
69	2
69	3
1082	7
1082	8
2764	17
2764	18
22814	7
22814	8
6759	4
6759	7
13608	4
13608	10
69	5
69	13
100	30
100	36
6243	12
6243	16
1104	14
1104	15
24588	4
24588	5
21541	1
6762	5
6762	7
21537	8
21537	9
24588	6
24588	7
27485	6
27485	7
22664	4
22664	5
28261	39
28261	40
27789	14
27789	15
25246	38
25246	39
4565	2
4565	3
22664	16
22664	17
21408	4
21408	5
26982	2
26982	3
17517	12
17517	13
24995	4
24995	5
25246	20
25246	21
22064	4
22064	5
27485	8
27485	9
22664	22
22664	23
27130	10
27130	11
27234	4
27234	5
17517	6
17517	7
28604	20
28604	21
28050	24
28050	25
22064	18
22064	19
28050	18
28050	19
5318	3
5318	3
27234	12
27234	13
27784	14
27784	15
24995	22
24995	23
5231	9
5231	9
28050	26
28050	27
5318	4
5318	4
29155	22
29155	23
6801	2
6801	2
8806	8
8806	9
5319	6
5319	6
27485	18
27485	19
5318	7
5318	7
27234	18
27234	19
27782	22
27782	23
32434	8
32434	9
101	12
101	13
101	15
27485	16
27485	17
6801	3
6801	3
5318	8
5318	8
2931	9
2931	10
3899	12
3899	13
25042	4
25042	5
25246	18
25246	19
27789	4
27789	5
28503	8
28503	9
26521	8
26521	9
25628	8
25628	9
32434	12
32434	13
21538	11
21538	12
24313	4
24313	5
27782	14
27782	15
30509	10
30509	11
26982	10
26982	11
24995	20
24995	21
29366	18
29366	19
27123	20
27123	21
101	10
101	11
101	5
101	6
18865	10
18865	11
21538	7
21538	8
24370	4
24370	5
24588	2
24588	3
27123	8
27123	9
18865	8
18865	9
21511	18
21511	19
24370	16
24370	17
29155	2
29155	3
11498	20
11498	22
11498	25
5318	6
5318	6
26982	8
26982	9
27234	20
27234	21
25246	28
25246	29
148	20
148	21
23299	10
23299	11
27782	44
27782	45
27789	8
27789	9
5231	5
5231	5
3340	4
3340	5
5231	6
5231	6
5785	2
5785	3
21408	8
21408	9
