DUC,case
NonDUC,41984
NonDUC,41984
NonDUC,41984
NonDUC,41984
DUC-1,34698
NonDUC,34698
NonDUC,34698
NonDUC,34698
NonDUC,34698
NonDUC,34698
NonDUC,34698
DU4-1,34698
NonDUC,34698
NonDUC,42436
NonDUC,42436
NonDUC,42436
NonDUC,42436
NonDUC,42436
NonDUC,42436
NonDUC,42436
NonDUC,42436
NonDUC,41386
DUC-2,41386
NonDUC,41386
NonDUC,41386
NonDUC,41386
NonDUC,41386
NonDUC,41386
NonDUC,41386
NonDUC,41386
NonDUC,37741
NonDUC,37741
DUC-3,37741
NonDUC,37741
NonDUC,37741
DUC-2,37741
NonDUC,37741
NonDUC,44094
NonDUC,44094
NonDUC,44094
NonDUC,44094
NonDUC,44094
NonDUC,44094
DUC-2,44094
DUC-1,44094
NonDUC,44094
NonDUC,47137
DUC-3,47137
DUC-1,47137
NonDUC,47137
DUC-3,47137
DUC-2,47137
NonDUC,47137
NonDUC,47137
NonDUC,47137
NonDUC,47137
DU4-1,47137
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
DUC-2,56779
NonDUC,56779
NonDUC,56779
DUC-2,56779
NonDUC,56779
NonDUC,56779
NonDUC,56779
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
DUC-2,48777
DUC-2Plus,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,48777
NonDUC,31796
NonDUC,31796
DUC-1,31796
NonDUC,31796
NonDUC,31796
NonDUC,31796
NonDUC,40086
NonDUC,40086
NonDUC,40086
NonDUC,40086
NonDUC,40086
NonDUC,40086
NonDUC,40086
NonDUC,40086
DUC-2,40086
NonDUC,40086
NonDUC,40086
NonDUC,40086
NonDUC,40086
DUC-3,40086
NonDUC,40086
DUC-1,40086
NonDUC,40086
DUC-1,40086
NonDUC,40086
NonDUC,40086
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
DUC-2,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,43114
NonDUC,59565
NonDUC,59565
NonDUC,59565
NonDUC,57703
DUC-3,57703
NonDUC,58723
NonDUC,58723
DUC-3,58723
NonDUC,58723
DUC-1Plus,58723
DUC-3,58723
NonDUC,58723
NonDUC,58723
NonDUC,58723
NonDUC,58723
NonDUC,58723
NonDUC,58723
NonDUC,58525
NonDUC,58525
NonDUC,58525
NonDUC,58525
NonDUC,58525
NonDUC,58525
NonDUC,58525
DUC-1,58525
NonDUC,58525
NonDUC,58525
NonDUC,60972
NonDUC,60972
NonDUC,60972
NonDUC,60972
NonDUC,60972
NonDUC,60972
NonDUC,60972
NonDUC,60972
NonDUC,60972
NonDUC,60972
DUC-2,60972
NonDUC,60972
NonDUC,60972
NonDUC,60972
NonDUC,64340
NonDUC,64340
NonDUC,64340
NonDUC,64340
NonDUC,64340
DUC-3,64340
NonDUC,64340
NonDUC,64340
NonDUC,59051
NonDUC,59051
NonDUC,59051
NonDUC,59051
NonDUC,59051
NonDUC,59051
NonDUC,59051
DUC-2,59051
NonDUC,59051
NonDUC,66051
NonDUC,66051
NonDUC,66051
NonDUC,66051
NonDUC,66051
NonDUC,66051
DUC-1,66051
NonDUC,66051
NonDUC,66051
NonDUC,64307
NonDUC,64307
NonDUC,64307
NonDUC,64307
DU4-1,64307
DUC-1,64307
DUC-1,64307
DUC-1,64307
NonDUC,64307
DUC-1,64307
NonDUC,64307
NonDUC,64307
NonDUC,64307
NonDUC,68251
NonDUC,68251
NonDUC,68251
NonDUC,68251
NonDUC,68251
NonDUC,68251
NonDUC,68251
NonDUC,68251
NonDUC,68250
